Protein,Attention_Weight
btn2a1,0.98766685
ifi30,0.98765314
wasl,0.98752147
nfya,0.98737144
hsp90b1,0.987216
sh2d1a,0.9865889
glp1r,0.9865799
serpinf1,0.98648834
nagk,0.9864128
kit,0.98635674
pebp1,0.9861435
micall2,0.98594236
ipcef1,0.98572814
smad5,0.985664
clec4a,0.9856324
ikzf2,0.985605
mink1,0.985531
chga,0.9854738
jmjd1c,0.9854288
ehd3,0.98537517
nadk,0.9850711
dpt,0.9848484
cd300e,0.98451126
nudt16,0.98446524
nphs2,0.9843477
mitd1,0.98433274
prdx6,0.98426443
fcrlb,0.98422384
cd74,0.9840268
nagpa,0.9840231
tp53inp1,0.9837675
milr1,0.98346573
hars1,0.98333275
clul1,0.98308545
apom,0.98265994
sftpa2,0.9825527
evi5,0.9824934
dpep1,0.9821224
lmnb2,0.982082
nptn,0.98200035
septin3,0.98195803
lamtor5,0.9817688
txnrd1,0.9814278
lcat,0.9809503
ambp,0.98036
tbl1x,0.9802375
scp2,0.9801907
pdia4,0.98006237
npr1,0.9797925
ywhaq,0.97975004
metap2,0.9793692
top2b,0.9792949
ccl28,0.9792658
dnaja2,0.9788983
klk14,0.9788607
tyrp1,0.9781887
pikfyve,0.9781862
ccne1,0.9779228
nexn,0.97778714
c1qtnf5,0.9775796
golm2,0.9773427
padi2,0.97726023
cxadr,0.97723794
ca9,0.9770626
cd99l2,0.97684
cep350,0.97675407
cdan1,0.9764016
siglec10,0.976197
terf1,0.976156
tmed8,0.97593266
gopc,0.97591823
tpp1,0.9753745
sirt5,0.97532666
ppme1,0.9750351
fgfbp1,0.9750065
pcdhb15,0.9749297
ccn2,0.97492075
mtus1,0.97486067
tnfsf8,0.97429585
nfe2,0.9742508
rbm25,0.9742481
cd79b,0.9741412
serpina6,0.9737892
polr2a,0.97377896
exosc10,0.97347903
ephx2,0.97341704
spart,0.9731101
slitrk6,0.97279155
gas6,0.9727473
amy2b,0.97240305
mindy1,0.9723381
tnfrsf13c,0.9721824
daam1,0.9713383
hspa1a,0.9711399
clec1a,0.97089356
marco,0.97078586
tslp,0.97078216
icam4,0.9706745
gfer,0.97064275
bid,0.97040594
chac2,0.97015065
scn3a,0.9700899
rrm2b,0.96987784
gigyf2,0.96978116
ubac1,0.9697348
ceacam6,0.9696342
snx5,0.9696175
tpm3,0.9695123
nphs1,0.96948946
arl2bp,0.96927965
gzma,0.96915394
flt3lg,0.969084
cacybp,0.9688693
il18r1,0.96871644
per3,0.9686502
gcnt1,0.96841264
esam,0.96819806
ist1,0.96801937
nlgn2,0.96792144
dkkl1,0.96786135
cant1,0.9675572
vamp5,0.96736646
draxin,0.9668702
cd72,0.9667874
galnt2,0.966611
ccdc80,0.9662003
cd63,0.96615535
rnase6,0.96598136
sdhb,0.9658866
nptx2,0.9657067
fcrl2,0.965497
cdh4,0.9654914
cyb5r2,0.9653736
aldh3a1,0.96520257
plcb2,0.9648426
gga1,0.96479166
cd109,0.9647738
yap1,0.96476436
atp6v1f,0.9643874
tbc1d23,0.96435195
cirbp,0.9638411
prnd,0.96318966
hpcal1,0.96271914
agt,0.9626205
spry2,0.96252275
fstl1,0.9625161
ltbr,0.96228015
psapl1,0.96220165
psme2,0.9614756
crisp3,0.9613483
sod1,0.96124387
crip2,0.96122086
krt6c,0.9610918
mog,0.9610906
sord,0.9610536
sel1l,0.9609699
rgs10,0.9605209
lcn15,0.9601954
ptprm,0.9600327
cuzd1,0.959139
ezr,0.9590452
ptrhd1,0.9588419
sgsh,0.95855415
eif2ak2,0.9582526
ctsb,0.95809627
prtn3,0.9580548
gne,0.9578599
psip1,0.957579
igsf21,0.9575772
metap1d,0.957409
angptl3,0.95736945
cptp,0.95733213
atox1,0.95732087
adam12,0.95731014
crx,0.95689887
il36g,0.95659447
gdf15,0.95623267
f13b,0.95585203
epha2,0.95562345
apol1,0.95544386
fam20a,0.9553386
ptpn1,0.9550057
becn1,0.95483893
usp28,0.9547379
clec6a,0.95460826
rgcc,0.9545126
ca3,0.9543735
foxo1,0.9536372
eps8l2,0.9536201
vps53,0.95356214
cat,0.9530747
il10ra,0.9528674
ptprr,0.95258856
arid4b,0.9520959
qpct,0.9520048
ap3s2,0.9518994
apbb1ip,0.9516783
pgr,0.9515556
timd4,0.95154166
cd6,0.9515119
prdx5,0.9511912
klrf1,0.95115626
ghr,0.95109195
tnfsf13,0.9509397
tpd52l2,0.9499401
fgl1,0.9498701
prg2,0.9494431
lamp1,0.9493822
hpgds,0.94901145
duox2,0.94883764
lrg1,0.94881475
lyzl2,0.9488147
akt1s1,0.9487742
npm1,0.9485078
fadd,0.9484147
ulbp2,0.9483583
pik3ip1,0.9482209
ahcy,0.948154
prdx3,0.94792
bdnf,0.9474554
f12,0.9472188
gabarap,0.94719076
ca1,0.9467448
serpina1,0.9467267
vsig4,0.9465259
gla,0.94652164
ciapin1,0.9462768
cd55,0.9457035
oscar,0.94562745
timp4,0.9452652
mst1,0.945204
sarg,0.9449386
bmp10,0.9447458
anxa11,0.9446256
abca2,0.944536
csf2ra,0.9443613
dnajb2,0.9441927
commd9,0.94398296
ptn,0.943781
nomo1,0.9435545
ifnlr1,0.9433174
trim21,0.9433031
clta,0.9432889
pros1,0.9432337
cct5,0.94292974
wwp2,0.9426535
podxl,0.94226587
cstb,0.9422217
igsf8,0.9421215
lrpap1,0.9418888
lats1,0.94169706
calcoco2,0.9416795
mansc1,0.94076383
hmox2,0.94049716
edem2,0.9399867
glyr1,0.9390249
acaa1,0.9389187
stx3,0.9382595
calb2,0.9381206
hip1r,0.9373221
sct,0.9371623
pigr,0.93712854
hs6st2,0.93704224
atp6v1g1,0.9369863
abhd14b,0.9365963
gmpr2,0.936581
ceacam1,0.9362902
map1lc3a,0.93611693
bloc1s3,0.9359121
cd300lf,0.9351349
ang,0.9350499
lamp2,0.9349768
ly9,0.9345781
cfi,0.9343493
chmp1a,0.93419343
scrib,0.93393385
phospho1,0.9338231
dbnl,0.9335648
lelp1,0.93316716
klk11,0.9323394
ccn4,0.9322885
apof,0.9322051
adamtsl2,0.93216145
dgka,0.93189675
lgmn,0.93183917
stx7,0.9317002
plxdc1,0.93161094
echs1,0.9315494
ep300,0.9315419
tubb3,0.93082917
snrpb2,0.9308022
vash1,0.930583
angptl1,0.93024313
crhr1,0.93019295
fgd3,0.9301104
prame,0.92999125
sdc4,0.9299135
man1a2,0.9297692
nfu1,0.9297158
myom1,0.92964077
wnt9a,0.9294811
cfhr2,0.9294529
traf3ip2,0.9292631
snx9,0.9292204
cytl1,0.9287161
crlf1,0.9286293
traf3,0.9284156
muc13,0.9283637
cdc37,0.9281665
ptgr1,0.92805576
ddt,0.9279899
ifnw1,0.9279119
bcl2,0.9276302
map1lc3b2,0.92757
mvk,0.92751276
mri1,0.9273057
vipr1,0.9265804
nxph1,0.9262707
inpp1,0.92620635
was,0.9262061
git1,0.9261167
ptk7,0.9258739
ddr1,0.9256383
rilpl2,0.925478
itprip,0.92533994
bsg,0.92532545
palm,0.9247545
npl,0.9247111
cd5,0.92436916
tnfrsf17,0.9241039
gpr158,0.9240546
cd302,0.923935
stambp,0.92388976
ncam2,0.9237913
btc,0.92366123
cntnap2,0.92362094
egfl7,0.9235492
nptx1,0.9235275
sdc1,0.9234915
usp25,0.92335606
f11,0.92317855
lrrc25,0.923136
usp47,0.9231015
gprc5c,0.9227164
pdgfra,0.9227102
pof1b,0.92269635
s100a3,0.9222163
hsd17b14,0.92191446
bin2,0.9218532
mgmt,0.92184675
tdp1,0.92180586
hexim1,0.92113054
arf6,0.92089224
rictor,0.92082477
cd200,0.9205855
epha10,0.9204558
adamts4,0.9203898
dnajb8,0.9202454
mzb1,0.9198926
creld2,0.9196912
cd36,0.91960865
sugt1,0.9195839
crebzf,0.9193108
epha4,0.91893077
gpc1,0.9186832
fgf20,0.91854966
eif4e,0.91828966
wasf3,0.9178333
slc44a4,0.9177996
gdf2,0.9175504
podxl2,0.9169159
bag4,0.9165268
il4,0.9163397
adgrb3,0.91595817
arsa,0.915864
vav3,0.9157745
cpped1,0.91569567
palld,0.9156828
ptprk,0.91566634
cbs,0.91562885
sec31a,0.9155966
fxn,0.91554797
fas,0.91552496
ocln,0.91532373
tpsab1,0.91508394
pglyrp1,0.9148743
entpd5,0.91463256
rad23b,0.91459966
ppp3r1,0.9144787
pdcd6,0.9144119
chmp6,0.9143547
arsb,0.91430205
cgn,0.9142825
arhgap30,0.914087
prss22,0.9138851
gkn1,0.9138552
st13,0.9137212
mocs2,0.9137178
pkn3,0.9136557
arg1,0.9135984
ca11,0.91347903
cd226,0.9133758
sirt1,0.91268766
hyou1,0.91230994
znf75d,0.9118751
vwa5a,0.9118418
csnk2a1,0.9114837
smpdl3b,0.9113858
flrt2,0.91125315
jam2,0.91123635
s100a4,0.9107933
slc12a2,0.9106725
ctsd,0.91029155
ids,0.91016316
entpd6,0.9100803
sema6c,0.9099106
frzb,0.9098039
pla2g15,0.9096233
sema4c,0.9094378
cfd,0.90887916
penk,0.9087754
treml1,0.90838784
vit,0.9083424
pcolce,0.9082806
amfr,0.90813005
lpcat2,0.9081055
fcrl3,0.90801895
scrn1,0.90799236
dtymk,0.9079863
lsm1,0.9078315
vwa1,0.90758383
klhl41,0.9074834
ctsl,0.9069997
brd1,0.90671647
acp5,0.90637505
blmh,0.90630394
entr1,0.90624404
tap1,0.9058492
dbn1,0.9057664
pstpip2,0.90571725
pomc,0.90555626
cep112,0.9053395
oxct1,0.9052398
pdcd5,0.90501106
tmprss11b,0.9049781
nt5c1a,0.9047483
dut,0.9046412
pcdh12,0.9042881
rab37,0.9036715
relt,0.9035488
mtr,0.90340465
akr1b1,0.90333295
ap1g2,0.90287995
klkb1,0.90220714
zbtb16,0.90187377
txnl1,0.9017968
trim5,0.9016311
masp1,0.90145373
gpha2,0.90137637
flt3,0.90109515
map2k6,0.9008585
ctrb1,0.90069854
glipr1,0.90064
saa4,0.9005468
shisa5,0.9003435
ctso,0.90030944
unc79,0.90019417
vps37a,0.9001898
nit2,0.9000195
efhd1,0.90000296
serpine2,0.90000296
c1rl,0.89973474
itm2a,0.899419
gipc3,0.89922523
nudc,0.8989347
mertk,0.89871764
tdrkh,0.8986009
galnt5,0.89854586
nedd4l,0.89843553
fam3b,0.8981447
pgd,0.8978106
guk1,0.89741397
rnaset2,0.8967916
rps10,0.89679015
clmp,0.896708
fcer2,0.89661527
tomm20,0.89644563
clec10a,0.89644206
hs1bp3,0.8960296
vsir,0.89591134
klf4,0.8957275
pi16,0.8954555
il1r2,0.8953515
ccar2,0.89531386
rassf2,0.8947971
dtnb,0.8947868
pcna,0.8943442
esyt2,0.8942575
ddhd2,0.89423573
lrtm2,0.89410937
ehbp1,0.893947
ntf3,0.8937814
dipk2b,0.8937298
tarbp2,0.8935088
ubxn1,0.89337385
cdsn,0.8932605
nop56,0.89318335
anxa2,0.8930159
klk10,0.892617
fkbp4,0.892419
sorbs1,0.89230144
lrch4,0.8920655
gask1a,0.89186996
shpk,0.89185333
echdc3,0.89159393
cd200r1,0.89158875
st8sia1,0.89145565
clec3b,0.891437
eif2ak3,0.8914041
hip1,0.8911191
txk,0.89095664
cd80,0.89087975
krt14,0.89019585
pydc1,0.88981164
tnfsf13b,0.8893002
clec14a,0.88925886
f3,0.88918966
cd2ap,0.8889463
ap3b1,0.8886684
adamtsl5,0.88864493
dars1,0.88834727
slirp,0.8881093
tmem106a,0.88791114
c1qtnf9,0.88757384
pfkfb2,0.88727146
dctd,0.8868034
capg,0.88680124
naprt,0.8865876
cdh6,0.8863302
otoa,0.88630414
rab3gap1,0.88628566
ecm1,0.88618267
procr,0.88597715
eif4b,0.88579226
tacstd2,0.8856025
ddah1,0.88514304
lrrn1,0.88500917
fgfr2,0.8848601
psme1,0.88464296
gstm4,0.8845715
oplah,0.884428
defb116,0.88431334
gmpr,0.8843028
clns1a,0.88402957
lyar,0.88400996
nudt2,0.8839356
creg1,0.88363194
extl1,0.88307154
pdzd2,0.8829919
hjv,0.8828513
hnrnpk,0.8825486
tpt1,0.8825378
mmp15,0.882516
ube2l6,0.8820997
smc3,0.8818126
scgb3a1,0.88174486
ankrd54,0.881654
anxa5,0.88145417
eno1,0.88126826
ptprc,0.88114303
preb,0.88108397
islr2,0.880947
f9,0.8805806
gtpbp2,0.88036394
impa1,0.8803565
il1a,0.8803458
got1,0.8802209
atxn3,0.88016576
lcp1,0.8801533
numb,0.8800777
gpi,0.879954
pgf,0.8799137
prss27,0.8798354
hdgfl2,0.8796679
il6st,0.87955344
cd244,0.879523
il1r1,0.879446
nbl1,0.87916785
artn,0.8790511
layn,0.8789284
xiap,0.87861127
cpq,0.87794316
htra2,0.8776778
tgoln2,0.8774322
bche,0.8774227
sirpa,0.8760662
il12rb1,0.8760412
kir3dl2,0.8759965
washc3,0.8759346
hhex,0.8758406
gnpda1,0.8757959
mpi,0.8755212
snx18,0.8755108
vta1,0.87548345
polr2f,0.8748871
plscr3,0.8748863
treml2,0.8748472
rest,0.87387717
pfdn6,0.8738525
coro6,0.8734894
klrk1,0.8734088
hk2,0.87328
vtcn1,0.8730761
cit,0.8729768
itih5,0.8724673
serpina4,0.8722548
prkra,0.87208533
sumf2,0.8720315
ripk4,0.8718548
trim40,0.8715716
tmem132a,0.8715352
nub1,0.87091887
ppp1cc,0.8708679
grpel1,0.8708378
capn3,0.87062967
susd5,0.87055165
il1rap,0.870283
lhpp,0.8702251
tnfaip2,0.8699888
cfc1,0.86943465
cd34,0.8694284
tcn2,0.8693476
hs6st1,0.8691728
cdh22,0.8690909
tpk1,0.8690078
kcnh2,0.86879635
cthrc1,0.86874294
rwdd1,0.86863035
pam,0.8684044
pglyrp4,0.86830604
klk7,0.86826104
arhgap5,0.86813265
dcc,0.86788034
cemip2,0.86750436
max,0.8670609
pepd,0.8666385
cnp,0.8665149
cd209,0.86616325
serpinb8,0.8659721
ccdc50,0.8658643
tcn1,0.86560947
pmch,0.86551845
ythdf3,0.8650301
cd84,0.8648821
scg3,0.86487275
il11,0.8646482
pkd2,0.86443734
ctf1,0.8644228
rnf31,0.86415875
atf2,0.864154
swap70,0.863981
rasgrf1,0.8634255
nfatc3,0.8629993
tst,0.8629633
serpinb9,0.86293614
plin1,0.8629186
slamf6,0.86279523
rtn4ip1,0.86265
dtx3,0.8625828
angptl2,0.8625395
crhbp,0.8624249
fcn1,0.8623675
ece1,0.8623285
mcfd2,0.8622943
gorasp2,0.86153233
nrtn,0.861475
lgals3bp,0.86134565
cd70,0.86126894
slc13a1,0.8612525
klk15,0.861251
cetn3,0.86098194
il6r,0.86074626
dusp29,0.86049175
nhlrc3,0.8604175
nrn1,0.8601478
lto1,0.86009395
amdhd2,0.8599843
cd300a,0.8598449
htr1b,0.859364
kiaa0319,0.85924697
cd7,0.859204
gart,0.85883796
maea,0.85854006
lactb2,0.858428
plin3,0.85837924
ighmbp2,0.85836166
mapk9,0.8582685
mucl3,0.8580016
arhgap1,0.8570365
sat2,0.8570255
tbr1,0.85698986
cyth3,0.8568764
caps,0.8568653
il13ra1,0.8563934
ssbp1,0.8560102
pdap1,0.85585964
scn2b,0.85577345
myoc,0.8555852
il22ra1,0.8554352
stau1,0.8551079
acvrl1,0.8548539
il20rb,0.8544067
nlgn1,0.85433316
l3hypdh,0.85346794
syt1,0.8534603
angpt2,0.85342413
arhgef10,0.85337436
ca7,0.85301244
igbp1,0.85292375
naga,0.85291934
mcemp1,0.85277706
ctnna1,0.85274124
crygd,0.8527405
decr1,0.8526614
slc27a4,0.85262454
maged1,0.85235757
c1ql2,0.85228795
lztfl1,0.852269
lilra5,0.852059
map2,0.8513509
aspn,0.8513472
cd83,0.8511049
foxo3,0.85108733
gclm,0.8507689
igfbpl1,0.85075516
tgfb1,0.8507531
gpihbp1,0.8506376
add1,0.8505893
asgr2,0.8502548
mphosph8,0.85012597
hcls1,0.8496386
pcare,0.8494999
dcun1d1,0.84894395
hs3st3b1,0.84861904
dcbld2,0.84854007
stc1,0.84851754
pdia3,0.84829867
znrf4,0.84806
rp2,0.8480326
tnfrsf10b,0.84786534
ctbs,0.84761137
neo1,0.8474892
plxdc2,0.84732985
cd300c,0.8473064
rapgef2,0.8472222
il31ra,0.847214
azi2,0.84715104
gimap7,0.8471284
frmd4b,0.84693164
ptp4a3,0.8468834
pibf1,0.8467797
lrrc38,0.8467399
tpsg1,0.84672993
ermap,0.84650624
gnas,0.8464985
calb1,0.84621596
rnf4,0.8459614
grp,0.845846
adam9,0.8458322
nit1,0.8458252
selplg,0.8456411
gid8,0.8456335
spink8,0.8455699
asah1,0.8455303
shmt1,0.84531605
rab27b,0.8453063
kiaa1549,0.84519756
pxdnl,0.84497327
fgfr4,0.8448652
icoslg,0.8446042
pithd1,0.8445454
lrp11,0.8439307
atp2b4,0.8438759
sestd1,0.8436282
morf4l2,0.843616
psmd1,0.84352255
ceacam18,0.8434211
lgals3,0.84335065
cox5b,0.84319663
dtd1,0.84307003
nfkbie,0.8430079
cep85,0.84286904
tigar,0.8428483
mecr,0.84231865
cd274,0.8421098
atp1b4,0.84200203
denr,0.8416011
pbk,0.8415898
dnajb6,0.84154737
cd207,0.8415002
atxn2l,0.8411213
nrxn3,0.8409709
paxx,0.84095883
lonp1,0.84094965
ccs,0.8403934
tp53i3,0.8403219
tcp11,0.8401641
znf174,0.8400662
aamdc,0.8397329
tfpi2,0.83971304
timm10,0.83969676
birc2,0.83927333
wasf1,0.8387579
vps4b,0.83849084
fut8,0.83835506
zfyve19,0.83832765
phactr2,0.8380334
txndc9,0.83780456
tppp2,0.83758223
trdmt1,0.8374644
lpp,0.83742714
arhgap25,0.8368497
cdkl5,0.83682954
fxyd5,0.8364372
pon2,0.8362098
gngt1,0.836184
cacnb3,0.83616304
copb2,0.8359766
nampt,0.8359252
tpsd1,0.83587986
mtdh,0.8352485
rabepk,0.8352288
gipc2,0.83514476
nup50,0.83468616
kctd5,0.83464766
thap12,0.8346247
phykpl,0.83447874
bambi,0.83424354
elavl4,0.8341408
rpl14,0.8340441
ifnl2,0.8339567
apobr,0.83376384
il3,0.8336364
dnajb14,0.833542
selenop,0.8334713
galnt7,0.83325946
crtac1,0.83317196
cyb5a,0.8329228
il2,0.8328593
ssna1,0.8327644
comt,0.8326274
lmnb1,0.83254695
fcar,0.83252144
tnfrsf11a,0.83238214
prc1,0.83220303
gipr,0.83211553
eif4g3,0.8317791
dxo,0.8316113
lysmd3,0.83152497
matn3,0.83131266
rap1a,0.831161
kyat1,0.83115065
lrig3,0.83092993
psap,0.8303406
rln1,0.8302462
cdk5rap3,0.8302204
cep43,0.8293278
vps28,0.8290599
uros,0.8290107
pbld,0.8284817
rbm19,0.8281736
il17ra,0.8280729
mdm1,0.8280275
efcab14,0.82798237
erp44,0.82778156
spring1,0.8277205
amotl2,0.82745546
tyro3,0.82742643
eno2,0.8273594
ppm1f,0.82614994
cdnf,0.82601
gdnf,0.82600445
slc16a1,0.82555455
shd,0.82536834
dipk1c,0.82528704
krt8,0.82517195
timp2,0.8247684
vcpkmt,0.824672
enpep,0.82460165
rbp1,0.82423973
mrps16,0.82417154
akt3,0.82392687
thtpa,0.823809
c5,0.82354873
erc2,0.82335776
commd1,0.82319367
il7,0.82302475
hmgcs1,0.82260334
casp2,0.822564
iglon5,0.8224861
esr1,0.8223771
spred2,0.822202
cetn2,0.82215333
f7,0.8220444
pth1r,0.82178307
trim58,0.821704
vstm1,0.8216531
cdc27,0.8213295
mtss2,0.821274
ncr1,0.820936
atp6v1g2,0.82093227
wdr46,0.82086575
il31,0.8204826
oga,0.8202468
unc5d,0.8198662
c7orf50,0.8197434
kiaa2013,0.8192477
cd164,0.8190365
stk11,0.8189546
serpinb6,0.8188238
fh,0.81866086
slc28a1,0.8185331
ccer2,0.81826365
syngap1,0.818214
ceacam3,0.81815124
snu13,0.81808215
acp6,0.81805706
cpxm2,0.817978
optc,0.81794375
ddx25,0.8179395
prkab1,0.81787425
pla2g1b,0.81778616
casp7,0.81768596
map2k1,0.8175305
sil1,0.81735444
fes,0.81691736
osbpl2,0.8167895
anxa1,0.8166516
fkbp14,0.8165817
fgf5,0.8164712
atxn10,0.81633043
ldlrap1,0.8162805
ogt,0.81604224
rnase1,0.8157253
amn,0.81556344
grin2b,0.8154159
znrd2,0.81528425
fut1,0.81515014
pglyrp2,0.814682
nmrk2,0.81463265
crtap,0.81457496
lrfn2,0.8142021
il20,0.8140199
vasp,0.81378436
sumf1,0.81343687
rab6b,0.8133213
steap4,0.81328607
igdcc3,0.81300867
sart1,0.81287587
il17a,0.8123803
pqbp1,0.8122859
prkar1a,0.8122535
cox6b1,0.81199837
trim24,0.8119522
clpp,0.8117137
kif1c,0.81143963
ddx1,0.8111577
ica1,0.81085324
morf4l1,0.81084454
arfip1,0.8103571
zbp1,0.8098214
ebag9,0.8097281
hspb1,0.8092113
odam,0.80882716
dynlt3,0.80877656
brd2,0.80862963
adam23,0.8085988
reep4,0.80857193
ninj1,0.8084898
phldb1,0.80814826
gamt,0.80809474
atp6ap2,0.8076056
ppp1r12b,0.8073169
pbxip1,0.8071308
mtif3,0.8066998
septin8,0.80668867
gatd3,0.8061621
clasp1,0.8056313
jam3,0.80557775
lgals8,0.8052362
stx8,0.80502605
otud7b,0.8047898
septin9,0.8040112
plcb1,0.80376565
cwc15,0.80369866
susd4,0.8036115
lypla2,0.80338347
gimap8,0.8028239
igfbp3,0.80256313
gpc5,0.8025441
il12rb2,0.80168664
c1qa,0.8016251
scn4b,0.8009786
rnf5,0.8006677
mthfsd,0.8005005
palm3,0.80013394
dennd2b,0.7994158
btn3a2,0.79939777
hepacam2,0.799091
dnajc6,0.7986753
chchd6,0.7984758
epn1,0.7983147
park7,0.7982576
zcchc8,0.79803634
nfkb2,0.79772496
tigit,0.79729044
il2rg,0.7969898
dda1,0.7969555
siglec6,0.7966589
pdia5,0.79649293
upk3bl1,0.7962503
ctss,0.7961074
il24,0.79584897
adamts1,0.79567444
ggt5,0.7955788
dctn6,0.7952583
qdpr,0.7947681
tnfrsf10a,0.79428995
epgn,0.7938324
nubp1,0.7938014
kiaa1549l,0.7937827
inpp5j,0.7932923
insl4,0.7932106
ccnd2,0.7930136
sirpb1,0.79276305
dhps,0.7927313
adcyap1r1,0.79209554
igfl4,0.79206
vegfb,0.79180384
nmt1,0.79174936
rab39b,0.79165155
nap1l4,0.7915702
hmgcl,0.791387
pgm2,0.7913289
ern1,0.79131866
morn4,0.791285
mn1,0.79109126
gadd45b,0.7910415
pdcd1lg2,0.79090214
tsc22d1,0.79053044
rangap1,0.7902632
cd82,0.7898375
edn1,0.7897587
gm2a,0.7895136
coq7,0.7888066
ifnar1,0.7887103
sap18,0.7886616
nucb2,0.7886367
aif1l,0.78799176
pdzk1,0.78782356
bcat2,0.7875153
fam171b,0.7873929
hdgf,0.7872937
myo6,0.7870136
snx2,0.7867745
ap2b1,0.7863812
cenpj,0.7861768
nxph3,0.7858819
hgfac,0.78587914
safb2,0.7854892
lrrc59,0.78541183
psrc1,0.7852973
fgf7,0.7850069
clec4c,0.7842217
ppie,0.78382015
nacc1,0.78342843
cpvl,0.7832937
urod,0.7828073
vsig10,0.7827031
rnf43,0.78238726
fgf6,0.7822955
septin7,0.78213805
afap1,0.7821245
gabra4,0.78204906
sh3bp1,0.78186285
wfdc1,0.7815635
tars1,0.781173
baiap2,0.781078
cep152,0.7809337
nudt5,0.7808014
ssb,0.78058785
clec12a,0.78044987
stx16,0.78042316
hsd17b3,0.7801579
glrx5,0.7795824
fcn2,0.7795653
casp10,0.7795279
mcts1,0.77936196
bnip3l,0.7793201
lilrb2,0.7792569
hif1a,0.77896285
ca8,0.7789391
tnfaip8,0.77857953
kcnip4,0.7784753
b3gat3,0.7784132
fgfbp3,0.7781078
atraid,0.777557
sytl4,0.7774925
tspyl1,0.7774363
ubqln3,0.77728415
tjp3,0.7768886
ranbp1,0.7768576
med21,0.7752516
ppp1r14a,0.7750964
mapk13,0.7747394
il10rb,0.774037
aida,0.7739818
tpbgl,0.7736482
clic5,0.7735521
creld1,0.77337956
csh1,0.7732264
dnlz,0.77322376
pcsk7,0.77289784
il9,0.77284616
tmprss11d,0.77283454
ngrn,0.7727885
mfap3,0.7727005
smpd3,0.7726772
sowaha,0.77223885
actn4,0.77220714
nedd9,0.7718103
lyve1,0.77154267
khk,0.77151823
ift20,0.7713466
tarm1,0.7708185
hras,0.7707477
tspan15,0.7698544
slc1a4,0.7694009
larp1,0.76866883
vti1a,0.76834446
sms,0.7682222
mtpn,0.7681782
ube2z,0.7679587
mcee,0.7678282
m6pr,0.767038
nek7,0.7668781
ifit3,0.76675886
hebp1,0.76622236
meltf,0.76538515
il36a,0.76530015
gnpda2,0.7652459
satb1,0.7646806
vsig10l,0.76427704
pagr1,0.7635286
gage2a,0.76332664
stxbp3,0.76331085
lrtm1,0.7626518
kirrel1,0.7625577
pdgfc,0.7625104
c2cd2l,0.76206195
cabp2,0.7620229
pmm2,0.7620181
acp1,0.7619072
sost,0.761869
smad3,0.7615774
cd3d,0.76150846
dusp3,0.7614654
nos2,0.7612804
mmut,0.76099396
syap1,0.75971246
farsa,0.75938416
doc2b,0.75925183
acadm,0.75922114
pdia2,0.75891364
tor1aip1,0.7587607
rtkn2,0.75827086
cadps,0.75807965
uhrf2,0.7576749
gadd45gip1,0.7572112
grsf1,0.7568691
stx5,0.7567998
coch,0.75662446
otud6b,0.75661135
btla,0.75656116
plekho1,0.7559769
tppp3,0.7559635
tprkb,0.7556308
mthfd2,0.7554779
cxcl16,0.75546503
gc,0.75539017
fam13a,0.7549392
lif,0.75482655
stam,0.7545991
nt5c,0.75459355
trim26,0.7544877
lilra4,0.75332767
grk5,0.7530393
cyp24a1,0.7528757
pdxdc1,0.7527467
pms1,0.7522171
txndc15,0.75164
bst1,0.7516147
mprip,0.75127
plxnb2,0.7504312
amigo1,0.75026596
ltb,0.7499757
snx15,0.74989784
gtf2ird1,0.74764144
acadsb,0.7462767
tmod4,0.74592334
ptges2,0.7452338
glt8d2,0.7447587
bex3,0.7446662
rad51,0.7446353
hnf1a,0.7444656
lrrc37a2,0.74433446
gpr101,0.74407446
rac3,0.7439263
sv2a,0.74368227
ppm1a,0.7435057
htr1a,0.74346447
mrpl58,0.7432413
lap3,0.7431196
immt,0.7430177
leo1,0.7429953
mag,0.74234724
pcyt2,0.7416576
ostn,0.7415252
stoml2,0.74132454
dapk2,0.7412764
necap2,0.7410629
sh3bgrl2,0.740849
kcnc4,0.740369
rnf149,0.74015164
myl1,0.7399678
arg2,0.73977375
ncln,0.739601
nmi,0.7395667
rab33a,0.7393212
pafah2,0.7391117
gp1bb,0.73883265
c2orf69,0.73871183
top1mt,0.7386119
rnase10,0.7385391
sox9,0.73810333
rasa1,0.7380233
serpinb5,0.73791975
aldh5a1,0.7377316
hmmr,0.73747265
eif1ax,0.73745406
ndufa5,0.7372002
il13,0.7366047
gata3,0.7361585
drg2,0.7358488
dand5,0.7355658
blnk,0.7354232
grhpr,0.73479104
pard3,0.734565
ilkap,0.7345498
gfra2,0.73431337
pdgfrb,0.7335145
il20ra,0.7334276
cnpy4,0.73300016
maneal,0.7328303
tank,0.7328101
rab2b,0.7327258
cpa4,0.7324691
pdp1,0.7319422
stx1b,0.7316175
fkbp7,0.7315264
dnaja1,0.731284
ivd,0.7312227
chrm1,0.7309175
hddc2,0.7308892
ambn,0.7303732
stxbp1,0.7296461
ankmy2,0.72935677
sptlc1,0.7292595
omp,0.7289617
gbp6,0.72893417
dtx2,0.72879493
mrpl28,0.7286136
asrgl1,0.72852135
pde4d,0.72842056
ppcdc,0.72817564
tnpo1,0.7280232
itpa,0.72793835
ada,0.727919
cebpa,0.72775185
upk3a,0.7275334
elac1,0.72739553
fgf12,0.72736144
