Protein,Attention_Weight
lama1,1.2646921
robo2,1.2640519
plxna4,1.2640285
scgb1a1,1.2633463
mbl2,1.2632113
pklr,1.262923
c9,1.2627169
ccl8,1.2625818
gsn,1.2621024
ncf2,1.2613692
tnfrsf10c,1.2609547
dpp4,1.2600827
cdcp1,1.2592716
inppl1,1.2580388
gfral,1.2565771
s100a11,1.2563746
smtn,1.2561692
ly6d,1.2556546
setmar,1.253516
sdk2,1.2534287
cntnap4,1.2532873
itgam,1.2531239
serpina11,1.2526011
dsg3,1.2525837
grap2,1.2523849
mme,1.2523458
bpifb2,1.2517282
akap12,1.250972
tpr,1.25
bcr,1.2495707
cd5l,1.2495286
eif4g1,1.2485085
ftcd,1.2484841
erbb3,1.2475388
hagh,1.2446544
prss8,1.2438616
igf1r,1.2437989
ccn5,1.2437894
mstn,1.2437718
plaur,1.2420125
mmp9,1.2414432
tnfrsf8,1.2413318
atp5if1,1.2400587
dbh,1.2397835
aoc3,1.2390728
cdh2,1.2389984
il10,1.238605
cxcl3,1.2380321
eng,1.2379743
adgrg1,1.2374518
nppc,1.2371721
cd38,1.2367239
fgf19,1.236316
c3,1.2361662
umod,1.234894
prl,1.234414
lhb,1.2341512
spon2,1.2340436
fam3d,1.2335546
ctrc,1.2334912
pga4,1.2332451
fn1,1.2323711
bmp4,1.2318268
thrap3,1.2301295
adamts16,1.2296338
dctn2,1.2289431
sbsn,1.2285683
apcs,1.2285457
havcr1,1.2282102
cdon,1.2279139
gstp1,1.2272421
crkl,1.2268054
taldo1,1.2254608
klk13,1.2242124
dpy30,1.2228318
cfhr4,1.222719
cd248,1.2225287
robo1,1.2221754
adgre1,1.2221053
lxn,1.2217151
erbb4,1.2215712
mmp1,1.2213081
pon3,1.2211094
ache,1.2210857
cenpf,1.2209936
s100a16,1.2207456
ces2,1.2205527
fbn2,1.2202132
pi3,1.2197319
fgf23,1.2182803
clec4d,1.2166169
casp4,1.2162468
smarca2,1.215977
ddc,1.2157183
sftpd,1.2154416
tnfsf11,1.2147827
thbd,1.2147057
anxa10,1.214302
fkbpl,1.2142954
dab2,1.2139575
tnfsf14,1.2127447
bcl2l11,1.2127395
ckb,1.2124255
sult1a1,1.2116957
pinlyp,1.2114496
cndp1,1.2113942
calca,1.2113622
igdcc4,1.2104211
adgrg2,1.2103161
dsg4,1.2089099
dok1,1.2088399
fuca1,1.2086827
fbln2,1.2081177
manf,1.2080997
susd2,1.2080638
il3ra,1.2075291
ces1,1.2072474
itgb7,1.2070291
sema3f,1.206537
ly96,1.2061023
ccl25,1.2060249
lpo,1.2058661
npc2,1.2047247
sort1,1.2046192
tnip1,1.2043761
azu1,1.2042928
fap,1.2042115
sema7a,1.2040699
akt2,1.2040467
ncam1,1.203718
gal,1.2034583
thy1,1.2030067
lta,1.2027897
icam5,1.2021583
sez6l,1.2007926
col9a2,1.2006453
cntn1,1.2003448
yars1,1.2000557
dmd,1.199906
spink1,1.1986656
scarf1,1.1985196
camsap1,1.1979635
treh,1.1970658
tie1,1.1970102
obp2b,1.1967783
rcc1,1.1956834
gcc1,1.1955712
lair2,1.1948179
cd86,1.1946361
timm8a,1.1945732
sfrp4,1.194561
clip2,1.1943662
gys1,1.1941473
ccl21,1.1932749
diablo,1.1930557
il1rl2,1.192812
csde1,1.1927217
mars1,1.1926799
cd14,1.1925901
fus,1.1925105
tinagl1,1.1922392
icam1,1.1920965
apoa1,1.1918677
rln2,1.1913742
xg,1.1900623
ca6,1.1881542
kir2dl3,1.1878002
dmp1,1.187794
siglec7,1.187743
tspan7,1.1876504
pcsk9,1.1871682
cd22,1.1871443
enpp2,1.1866298
endou,1.1862457
rab11fip3,1.185849
ggh,1.1854088
cilp,1.1849016
chrdl1,1.1847616
tnfrsf1a,1.1847005
mcam,1.1844164
lamp3,1.1834061
ereg,1.1831563
snca,1.1826771
dll1,1.1824515
agr3,1.1819303
selp,1.1817961
ppp1r9b,1.1814332
tbc1d5,1.1813121
plb1,1.1813098
dctpp1,1.1807158
folr2,1.180556
sh2b3,1.180274
fli1,1.1802232
hrc,1.1799662
il17rb,1.1798718
robo4,1.17922
fabp9,1.1788979
lect2,1.1787314
met,1.1784856
erbin,1.1780579
mki67,1.1776991
sod3,1.177233
rbp7,1.1753981
cd33,1.1748946
tnn,1.174739
cd59,1.1745403
glo1,1.174537
tnfrsf19,1.1742544
vnn1,1.173872
fbp1,1.1738089
ace2,1.1737351
ccl15,1.1733179
serpina3,1.1731479
ncr3lg1,1.173089
heph,1.1729352
cd300lg,1.1723839
ltbp3,1.1721708
lcn2,1.1707988
eloa,1.1703593
rgmb,1.1702139
jpt2,1.1693228
prdx2,1.1692319
enpp6,1.1691698
eno3,1.169039
ceacam21,1.1680138
sprr3,1.1680021
dapp1,1.1676323
rhoc,1.1672788
irag2,1.1669189
ccn3,1.1661447
slmap,1.1659272
st6gal1,1.165852
rrm2,1.1644278
prss2,1.164104
pcdh9,1.1639981
cela2a,1.1639105
dync1h1,1.1638284
guca2a,1.1634507
adgre2,1.1633047
rspo1,1.1628988
clps,1.1628687
chl1,1.1627594
lag3,1.1613557
dnaja4,1.1603996
cxcl12,1.1598834
vnn2,1.1597716
pmvk,1.1594539
kazn,1.158919
jchain,1.1588674
hnmt,1.1584516
slitrk2,1.158212
reck,1.1581445
igfbp4,1.157767
icam3,1.1576905
pdlim5,1.1573181
dok2,1.1573172
pts,1.1571746
krt5,1.1568885
ptprs,1.156555
cd69,1.1560591
acot13,1.1559681
fcrl6,1.1558439
dner,1.1557777
itgb6,1.1557617
il19,1.1553593
cst6,1.1553228
lepr,1.1552587
adgre5,1.1548262
klk4,1.1546493
lsp1,1.1546228
serpinh1,1.15461
lgals9,1.1544132
trim25,1.1543806
nsfl1c,1.1542747
gmfg,1.1541357
rbks,1.1537303
leg1,1.1532687
padi4,1.1529503
mep1a,1.1524173
vegfc,1.1520996
dcxr,1.1516888
prap1,1.1514155
folr1,1.1513774
dag1,1.1512959
dctn1,1.1509236
bach1,1.1509039
ccl14,1.1499976
axin1,1.1499538
reg1a,1.1493121
alms1,1.1490023
ntrk3,1.1486623
mxra8,1.1485848
bcl2l15,1.1484959
app,1.1484439
itgb1bp2,1.148165
cxcl1,1.1481545
pag1,1.147523
lypd1,1.1473715
lat,1.1473536
ccl27,1.1472392
irak4,1.1471683
kazald1,1.1470706
mydgf,1.1469369
cracr2a,1.1460469
reg4,1.1456773
